sample,x,y,method,annotation_label
45,-11.014852,17.729774,SPDR,b.cells
46,-12.895272,16.795076,SPDR,b.cells
47,-5.9942565,17.815485,SPDR,b.cells
48,-11.690647,17.023006,SPDR,b.cells
49,-7.7657223,18.233854,SPDR,b.cells
50,-14.814426,22.967182,SPDR,b.cells
51,-7.844838,15.131218,SPDR,b.cells
52,-12.498486,23.042746,SPDR,b.cells
53,-9.645389,16.898941,SPDR,b.cells
54,-9.349251,19.426468,SPDR,b.cells
55,-14.150452,22.963846,SPDR,b.cells
56,-10.239873,18.414625,SPDR,b.cells
57,-9.864842,16.684118,SPDR,b.cells
58,-5.5010796,18.034874,SPDR,b.cells
59,-14.811851,23.012049,SPDR,b.cells
60,-15.465585,17.268663,SPDR,b.cells
61,-13.259606,22.793825,SPDR,b.cells
62,-8.352346,19.330507,SPDR,b.cells
63,-7.5303116,19.598146,SPDR,b.cells
64,-13.7573185,18.333677,SPDR,b.cells
65,-4.9770627,18.881886,SPDR,b.cells
66,-3.3439577,18.655615,SPDR,b.cells
67,-11.027109,18.170666,SPDR,b.cells
68,-7.328023,19.43556,SPDR,b.cells
69,-6.439388,21.446793,SPDR,b.cells
70,-16.107344,17.284336,SPDR,b.cells
71,-9.342128,19.176723,SPDR,b.cells
72,-7.1709,15.489344,SPDR,b.cells
73,-10.307434,18.084846,SPDR,b.cells
74,-7.6233377,18.976278,SPDR,b.cells
75,-8.9096155,16.584555,SPDR,b.cells
76,-14.07871,23.091434,SPDR,b.cells
77,-10.711425,22.159382,SPDR,b.cells
78,-11.630155,23.49077,SPDR,b.cells
79,-7.27339,14.615651,SPDR,b.cells
80,-6.630522,20.543709,SPDR,b.cells
81,-10.095497,16.497072,SPDR,b.cells
82,-16.07304,16.948162,SPDR,b.cells
83,-7.443727,17.273365,SPDR,b.cells
84,-7.012635,17.855347,SPDR,b.cells
85,-12.310646,21.295383,SPDR,b.cells
86,-9.38101,18.12712,SPDR,b.cells
87,-10.1600065,16.364134,SPDR,b.cells
88,-9.541431,18.429716,SPDR,b.cells
89,-12.0136795,17.525858,SPDR,b.cells
90,-5.9541078,15.457097,SPDR,b.cells
91,-13.91499,17.989552,SPDR,b.cells
92,-6.0791698,20.662018,SPDR,b.cells
93,-14.162846,16.463211,SPDR,b.cells
94,-8.287559,15.568549,SPDR,b.cells
95,-8.440949,19.22112,SPDR,b.cells
96,-10.077809,20.746258,SPDR,b.cells
97,-9.072522,16.958935,SPDR,b.cells
98,-9.30666,19.132826,SPDR,b.cells
99,-11.671133,18.965883,SPDR,b.cells
100,-11.646099,17.907562,SPDR,b.cells
101,-10.12026,16.849884,SPDR,b.cells
102,-9.20913,23.858816,SPDR,b.cells
103,-8.752956,17.652857,SPDR,b.cells
104,-6.608897,21.542646,SPDR,b.cells
105,-9.02191,21.393316,SPDR,b.cells
106,-9.867013,17.187342,SPDR,b.cells
107,-11.631445,14.538618,SPDR,b.cells
108,-9.0945635,18.780678,SPDR,b.cells
109,-13.973896,16.916077,SPDR,b.cells
110,-9.139865,16.542952,SPDR,b.cells
111,-6.566662,18.438593,SPDR,b.cells
112,-10.898409,18.283182,SPDR,b.cells
113,-4.715763,19.376747,SPDR,b.cells
114,-15.606474,16.66206,SPDR,b.cells
115,-7.166859,20.518276,SPDR,b.cells
116,-8.807785,18.221731,SPDR,b.cells
117,-5.4880705,16.835672,SPDR,b.cells
118,-9.321291,17.179123,SPDR,b.cells
119,-14.220359,17.131325,SPDR,b.cells
120,-9.274673,20.11979,SPDR,b.cells
121,-10.094151,17.934053,SPDR,b.cells
122,-8.71416,19.561108,SPDR,b.cells
123,-11.4309225,19.584633,SPDR,b.cells
124,-3.8074646,17.211946,SPDR,b.cells
125,-15.140661,22.605913,SPDR,b.cells
126,-11.810278,19.20396,SPDR,b.cells
127,-11.003711,18.320316,SPDR,b.cells
128,-7.879641,18.11524,SPDR,b.cells
129,-8.15772,17.96721,SPDR,b.cells
130,-5.9220667,17.7537,SPDR,b.cells
131,-6.4278607,17.003887,SPDR,b.cells
132,-4.7290707,19.945759,SPDR,b.cells
133,-15.295008,22.895018,SPDR,b.cells
134,-3.4874377,18.57715,SPDR,b.cells
135,-15.867936,17.544895,SPDR,b.cells
136,-14.685647,22.99681,SPDR,b.cells
137,-11.0746155,20.25753,SPDR,b.cells
138,-7.0593047,17.000149,SPDR,b.cells
139,-7.3445363,14.299813,SPDR,b.cells
140,-6.9923806,19.31011,SPDR,b.cells
141,-8.010224,20.495775,SPDR,b.cells
142,-8.538041,19.913057,SPDR,b.cells
143,-11.250981,19.180462,SPDR,b.cells
144,-9.95439,19.001408,SPDR,b.cells
145,-10.846409,15.141883,SPDR,b.cells
146,-14.258559,16.921385,SPDR,b.cells
147,-8.325623,18.598614,SPDR,b.cells
148,-7.827706,18.365519,SPDR,b.cells
149,-4.774126,16.96315,SPDR,b.cells
150,-15.124661,22.323812,SPDR,b.cells
151,-10.529886,17.993689,SPDR,b.cells
152,-9.129028,18.966337,SPDR,b.cells
153,-7.6033783,18.547209,SPDR,b.cells
154,-8.104517,19.819107,SPDR,b.cells
155,-7.0278773,18.601835,SPDR,b.cells
156,-15.315759,16.743977,SPDR,b.cells
157,-6.4150896,18.669104,SPDR,b.cells
158,-7.9706163,21.370441,SPDR,b.cells
159,-10.806052,16.07964,SPDR,b.cells
160,-7.159541,20.966314,SPDR,b.cells
161,-6.5931115,15.045074,SPDR,b.cells
162,-9.455492,18.79786,SPDR,b.cells
163,-14.918032,16.348524,SPDR,b.cells
164,-7.642312,18.622992,SPDR,b.cells
165,-11.739341,16.867516,SPDR,b.cells
166,-12.30656,17.953602,SPDR,b.cells
167,-7.2565136,19.96019,SPDR,b.cells
168,-9.17298,19.082682,SPDR,b.cells
169,-9.75126,15.110988,SPDR,b.cells
170,-6.4870734,17.961754,SPDR,b.cells
171,-14.488542,23.040468,SPDR,b.cells
172,-10.0047,18.710188,SPDR,b.cells
173,-14.84348,16.108362,SPDR,b.cells
174,-14.936354,17.124731,SPDR,b.cells
175,-11.544802,15.15318,SPDR,b.cells
176,-12.092829,17.058329,SPDR,b.cells
177,-15.342859,16.564266,SPDR,b.cells
178,-9.640158,17.489737,SPDR,b.cells
179,-8.598271,19.826817,SPDR,b.cells
180,-14.818883,22.893105,SPDR,b.cells
181,-10.875572,18.871796,SPDR,b.cells
182,-9.236395,18.340668,SPDR,b.cells
183,-6.4140115,15.394366,SPDR,b.cells
184,-9.374758,19.258057,SPDR,b.cells
185,-11.221939,15.660148,SPDR,b.cells
186,-14.023965,22.913757,SPDR,b.cells
187,-8.186885,20.469957,SPDR,b.cells
188,-8.2765665,20.052881,SPDR,b.cells
189,-10.752768,16.602068,SPDR,b.cells
190,-14.550331,22.939543,SPDR,b.cells
191,-9.081748,16.236975,SPDR,b.cells
192,-14.771692,22.90752,SPDR,b.cells
193,-11.151142,17.79961,SPDR,b.cells
194,-14.688343,16.731483,SPDR,b.cells
195,-7.4650416,15.758128,SPDR,b.cells
196,-10.009494,24.039513,SPDR,b.cells
197,-15.269581,16.946205,SPDR,b.cells
198,-8.914801,23.823374,SPDR,b.cells
199,-11.493589,19.046288,SPDR,b.cells
200,-16.415667,17.60102,SPDR,b.cells
201,-11.35594,17.592098,SPDR,b.cells
202,-9.570288,16.802507,SPDR,b.cells
203,-7.550433,16.477776,SPDR,b.cells
204,-15.49177,17.000772,SPDR,b.cells
205,-4.947712,20.447412,SPDR,b.cells
206,-9.370992,17.967377,SPDR,b.cells
207,-7.0274153,18.761461,SPDR,b.cells
208,-4.894024,17.383957,SPDR,b.cells
209,-15.996731,16.176292,SPDR,b.cells
210,-15.106437,23.279346,SPDR,b.cells
211,-10.25746,17.668554,SPDR,b.cells
212,-4.0059595,21.786034,SPDR,b.cells
213,-10.717967,17.903065,SPDR,b.cells
214,-8.969821,17.62505,SPDR,b.cells
215,-14.240217,23.271305,SPDR,b.cells
216,-6.456455,15.714096,SPDR,b.cells
217,-11.952289,18.054941,SPDR,b.cells
218,-4.724344,17.10424,SPDR,b.cells
219,-5.7708178,20.143694,SPDR,b.cells
220,-4.9632487,20.985085,SPDR,b.cells
221,-6.0062747,17.83747,SPDR,b.cells
222,-8.502656,19.409586,SPDR,b.cells
223,-10.802666,17.189686,SPDR,b.cells
224,-15.463285,21.837244,SPDR,b.cells
225,-9.466809,17.798592,SPDR,b.cells
226,-5.5926785,17.11086,SPDR,b.cells
227,-7.554435,20.540825,SPDR,b.cells
228,-6.348421,20.693602,SPDR,b.cells
229,-14.571634,22.965017,SPDR,b.cells
230,-10.811552,15.456388,SPDR,b.cells
231,-15.366424,16.240871,SPDR,b.cells
232,-15.823474,17.207031,SPDR,b.cells
233,-14.371822,22.714188,SPDR,b.cells
234,-5.8385096,16.379965,SPDR,b.cells
235,-7.684597,18.592445,SPDR,b.cells
236,-10.27379,18.068262,SPDR,b.cells
237,-5.012123,17.967665,SPDR,b.cells
238,-9.595122,18.425598,SPDR,b.cells
239,-13.513722,23.752249,SPDR,b.cells
240,-9.637757,18.159336,SPDR,b.cells
241,-8.866779,20.298773,SPDR,b.cells
242,-8.723734,18.740225,SPDR,b.cells
243,-14.272077,24.145927,SPDR,b.cells
244,-11.044839,18.704954,SPDR,b.cells
245,-7.563445,17.90716,SPDR,b.cells
246,-11.344477,16.181278,SPDR,b.cells
247,-7.9851513,18.510174,SPDR,b.cells
248,-10.46361,17.80337,SPDR,b.cells
249,-13.8443575,22.705126,SPDR,b.cells
250,-8.733833,17.646446,SPDR,b.cells
251,-8.89427,19.664803,SPDR,b.cells
252,-12.78627,14.0082245,SPDR,b.cells
253,-6.2649226,22.502804,SPDR,b.cells
254,-6.995975,16.252054,SPDR,b.cells
255,-6.531436,18.05161,SPDR,b.cells
256,-10.725666,23.533735,SPDR,b.cells
257,-5.198176,14.882587,SPDR,b.cells
258,-8.332797,20.664557,SPDR,b.cells
259,-14.35939,16.142426,SPDR,b.cells
260,-9.193874,22.424814,SPDR,b.cells
261,-9.204043,14.452532,SPDR,b.cells
262,-9.429591,15.772062,SPDR,b.cells
263,-11.512094,17.828148,SPDR,b.cells
264,-11.0839205,18.94205,SPDR,b.cells
265,-5.6195807,19.670425,SPDR,b.cells
266,-9.211502,16.246223,SPDR,b.cells
267,-6.887452,18.783625,SPDR,b.cells
268,-9.689928,19.804247,SPDR,b.cells
269,-6.082661,17.399382,SPDR,b.cells
270,-9.3606,21.73115,SPDR,b.cells
271,-12.996189,22.954319,SPDR,b.cells
272,-9.707532,16.941353,SPDR,b.cells
273,-11.480439,16.347948,SPDR,b.cells
274,-8.867951,19.203007,SPDR,b.cells
275,-8.606714,19.722248,SPDR,b.cells
276,-10.06189,20.785418,SPDR,b.cells
277,-9.202446,18.192366,SPDR,b.cells
278,-8.162223,18.785736,SPDR,b.cells
279,-8.258469,19.769672,SPDR,b.cells
280,-6.7353644,18.699293,SPDR,b.cells
281,-5.9407206,17.462275,SPDR,b.cells
282,-6.886146,16.82789,SPDR,b.cells
283,-15.988788,19.375387,SPDR,b.cells
284,-10.113055,19.379429,SPDR,b.cells
285,-8.363137,18.483616,SPDR,b.cells
286,-7.722519,19.275812,SPDR,b.cells
287,-6.3876715,18.22519,SPDR,b.cells
288,-11.8155155,23.020037,SPDR,b.cells
289,-8.218944,17.530146,SPDR,b.cells
290,-8.636042,15.500968,SPDR,b.cells
291,-8.595637,21.150827,SPDR,b.cells
292,-6.6928988,15.572637,SPDR,b.cells
293,-8.433011,18.567793,SPDR,b.cells
294,-8.117074,21.448174,SPDR,b.cells
295,-3.6281765,19.551512,SPDR,b.cells
296,-4.5903025,21.727842,SPDR,b.cells
297,-6.130319,18.62663,SPDR,b.cells
298,-8.6357565,18.00675,SPDR,b.cells
299,-9.960083,17.278698,SPDR,b.cells
300,-9.868183,21.659645,SPDR,b.cells
301,-10.091967,20.195784,SPDR,b.cells
302,-7.896668,21.027344,SPDR,b.cells
303,-6.8951,23.889162,SPDR,b.cells
304,-9.147166,18.853354,SPDR,b.cells
305,-14.5370455,22.864033,SPDR,b.cells
306,-9.615334,20.27946,SPDR,b.cells
307,-11.730288,17.080206,SPDR,b.cells
308,-9.992642,15.6851845,SPDR,b.cells
309,-7.7766514,18.694761,SPDR,b.cells
310,-5.3771253,16.75639,SPDR,b.cells
311,-9.09424,15.75576,SPDR,b.cells
312,-7.600149,18.754568,SPDR,b.cells
313,-13.780927,24.363686,SPDR,b.cells
314,-11.981854,23.791763,SPDR,b.cells
315,-5.855899,15.82895,SPDR,b.cells
316,-9.735986,15.434326,SPDR,b.cells
317,-5.510741,17.267462,SPDR,b.cells
318,-7.110361,20.022009,SPDR,b.cells
319,-10.316407,18.44846,SPDR,b.cells
320,-8.628587,17.403248,SPDR,b.cells
321,-14.880395,16.640938,SPDR,b.cells
322,-14.394282,16.837795,SPDR,b.cells
323,-7.6748157,16.603333,SPDR,b.cells
324,-9.185112,20.004107,SPDR,b.cells
325,-14.370388,22.632305,SPDR,b.cells
326,-6.456518,19.11157,SPDR,b.cells
327,-11.364705,16.768496,SPDR,b.cells
328,-4.8799734,20.414446,SPDR,b.cells
329,-5.453741,20.423008,SPDR,b.cells
330,-9.774669,16.212402,SPDR,b.cells
331,-14.656056,22.874527,SPDR,b.cells
332,-6.2678056,19.708506,SPDR,b.cells
333,-9.13041,19.788578,SPDR,b.cells
334,-16.02983,17.123913,SPDR,b.cells
335,-9.076315,16.244791,SPDR,b.cells
336,-13.792199,22.892582,SPDR,b.cells
337,-14.765589,16.27466,SPDR,b.cells
338,-6.159734,19.32939,SPDR,b.cells
339,-11.518352,15.880201,SPDR,b.cells
340,-10.719247,17.155912,SPDR,b.cells
341,-9.308838,18.505478,SPDR,b.cells
342,-14.384687,16.61647,SPDR,b.cells
343,-10.663858,17.868826,SPDR,b.cells
344,-8.28646,19.92004,SPDR,b.cells
345,-5.344596,15.653651,SPDR,b.cells
346,-7.361472,16.706797,SPDR,b.cells
347,-9.147886,19.110443,SPDR,b.cells
348,-9.084596,18.832195,SPDR,b.cells
349,-15.030591,23.059586,SPDR,b.cells
350,-8.358943,18.090738,SPDR,b.cells
351,-7.890479,20.33846,SPDR,b.cells
352,-12.486638,23.6853,SPDR,b.cells
353,-5.847935,18.071522,SPDR,b.cells
354,-15.581078,16.55,SPDR,b.cells
355,-6.0140824,20.306759,SPDR,b.cells
356,-9.2547,17.28531,SPDR,b.cells
357,-8.10353,21.107227,SPDR,b.cells
358,-8.501919,13.652924,SPDR,b.cells
359,-7.0752306,17.718052,SPDR,b.cells
360,-7.6452174,16.989323,SPDR,b.cells
361,-9.485611,18.084293,SPDR,b.cells
362,-13.790246,17.051306,SPDR,b.cells
363,-15.34071,21.81942,SPDR,b.cells
364,-11.610264,19.137667,SPDR,b.cells
365,-6.9563804,19.372776,SPDR,b.cells
366,-9.448836,22.21404,SPDR,b.cells
367,-8.313656,17.936823,SPDR,b.cells
368,-10.842567,17.03679,SPDR,b.cells
369,-12.35956,18.17962,SPDR,b.cells
370,-3.294262,17.412216,SPDR,b.cells
371,-9.8837385,17.982452,SPDR,b.cells
372,-4.556821,18.60181,SPDR,b.cells
373,-10.11064,16.139736,SPDR,b.cells
374,-12.64406,23.580889,SPDR,b.cells
375,-8.132513,15.374995,SPDR,b.cells
376,-9.10607,21.004208,SPDR,b.cells
377,-8.26434,17.853636,SPDR,b.cells
378,-6.071179,19.343395,SPDR,b.cells
379,-14.326129,16.95608,SPDR,b.cells
380,-9.357392,20.808226,SPDR,b.cells
381,-8.57439,18.03374,SPDR,b.cells
382,-7.8478384,21.022038,SPDR,b.cells
383,-5.0214024,20.18757,SPDR,b.cells
384,-7.9896345,17.632402,SPDR,b.cells
385,-9.259993,17.006315,SPDR,b.cells
386,-6.0866466,19.805248,SPDR,b.cells
387,-6.7622333,19.541136,SPDR,b.cells
388,-8.22113,16.651405,SPDR,b.cells
389,-5.052234,16.7794,SPDR,b.cells
390,-8.514534,22.051615,SPDR,b.cells
391,-7.9994717,17.55196,SPDR,b.cells
392,-14.887324,16.739794,SPDR,b.cells
393,-15.476904,15.905666,SPDR,b.cells
394,-9.17142,18.435295,SPDR,b.cells
395,-11.548042,23.082067,SPDR,b.cells
396,-11.238242,22.397503,SPDR,b.cells
397,-10.166875,17.323198,SPDR,b.cells
398,-4.777983,19.846313,SPDR,b.cells
399,-7.366702,17.189478,SPDR,b.cells
400,-11.543568,18.93451,SPDR,b.cells
401,-6.445846,14.930815,SPDR,b.cells
402,-11.628322,16.73516,SPDR,b.cells
403,-14.5806,22.796728,SPDR,b.cells
404,-9.6368265,18.318632,SPDR,b.cells
405,-11.310894,23.186302,SPDR,b.cells
406,-8.208473,17.59592,SPDR,b.cells
407,-11.970839,16.143396,SPDR,b.cells
408,-8.432983,16.522783,SPDR,b.cells
409,-7.478913,16.116318,SPDR,b.cells
410,-7.382987,20.271797,SPDR,b.cells
411,-8.113985,18.89441,SPDR,b.cells
412,-11.19957,18.82391,SPDR,b.cells
413,-11.074489,22.661089,SPDR,b.cells
414,-8.348612,19.740925,SPDR,b.cells
415,-5.921,17.79468,SPDR,b.cells
416,-7.6741967,16.561264,SPDR,b.cells
417,-8.977746,20.677235,SPDR,b.cells
418,-6.9773893,19.411358,SPDR,b.cells
419,-11.546261,22.536015,SPDR,b.cells
420,-9.692964,20.724604,SPDR,b.cells
421,-12.319367,21.008982,SPDR,b.cells
422,-7.2509246,22.567547,SPDR,b.cells
423,-15.186605,22.816605,SPDR,b.cells
424,-10.799811,17.085836,SPDR,b.cells
425,-8.913406,14.284913,SPDR,b.cells
426,-8.959743,17.322014,SPDR,b.cells
427,-8.804004,18.061724,SPDR,b.cells
428,-9.915074,18.424139,SPDR,b.cells
429,-10.2911625,22.343708,SPDR,b.cells
430,-6.6358194,20.93752,SPDR,b.cells
431,-6.783519,15.628153,SPDR,b.cells
432,-15.126086,22.818466,SPDR,b.cells
433,-9.817348,18.364305,SPDR,b.cells
434,-7.0693755,19.386587,SPDR,b.cells
435,-10.781774,17.592447,SPDR,b.cells
436,-6.731446,15.624277,SPDR,b.cells
437,-10.058562,21.547235,SPDR,b.cells
438,-8.128752,20.343754,SPDR,b.cells
439,-13.486349,16.912277,SPDR,b.cells
440,-15.63525,16.651888,SPDR,b.cells
441,-5.9500966,17.388943,SPDR,b.cells
442,-8.073899,18.025549,SPDR,b.cells
443,-7.1070952,18.995752,SPDR,b.cells
444,-8.887937,18.420454,SPDR,b.cells
445,-6.1410384,17.278559,SPDR,b.cells
446,-14.648359,23.001163,SPDR,b.cells
447,-8.764271,19.016836,SPDR,b.cells
448,-9.824614,17.54967,SPDR,b.cells
449,-10.375236,15.570688,SPDR,b.cells
450,-9.064234,21.08611,SPDR,b.cells
451,-10.285264,22.901129,SPDR,b.cells
452,-10.289917,17.196636,SPDR,b.cells
453,-8.937801,17.533678,SPDR,b.cells
454,-7.6559396,17.553555,SPDR,b.cells
455,-9.196967,16.810507,SPDR,b.cells
456,-16.34246,20.244709,SPDR,b.cells
457,-5.3936076,16.743134,SPDR,b.cells
458,-8.218839,20.354809,SPDR,b.cells
459,-9.225612,20.987831,SPDR,b.cells
460,-14.543318,17.142458,SPDR,b.cells
461,-12.542553,20.4587,SPDR,b.cells
462,-10.717644,22.526112,SPDR,b.cells
463,-14.0856085,16.73917,SPDR,b.cells
464,-11.36977,17.140148,SPDR,b.cells
465,-9.374126,18.436316,SPDR,b.cells
466,-4.5888515,17.109825,SPDR,b.cells
467,-9.766493,17.445726,SPDR,b.cells
468,-12.758272,15.849975,SPDR,b.cells
469,-9.832773,18.940279,SPDR,b.cells
470,-6.9079947,22.077738,SPDR,b.cells
471,-12.101171,18.345604,SPDR,b.cells
472,-5.941083,18.652512,SPDR,b.cells
473,-8.322308,20.196827,SPDR,b.cells
474,-3.8189597,20.88728,SPDR,b.cells
475,-6.606388,18.90448,SPDR,b.cells
476,-7.6735377,19.912628,SPDR,b.cells
477,-9.319594,18.116213,SPDR,b.cells
478,-14.985198,15.89384,SPDR,b.cells
479,-13.158008,18.162842,SPDR,b.cells
480,-15.768354,19.67864,SPDR,b.cells
481,-9.801794,16.522896,SPDR,b.cells
482,-7.693715,17.680716,SPDR,b.cells
483,-9.609938,15.60955,SPDR,b.cells
484,-7.0896997,16.963219,SPDR,b.cells
485,-10.355679,18.86414,SPDR,b.cells
486,-4.2292523,17.853203,SPDR,b.cells
487,-5.1634517,22.116995,SPDR,b.cells
488,-8.467667,18.792503,SPDR,b.cells
489,-9.367698,18.614388,SPDR,b.cells
490,-7.804213,19.965397,SPDR,b.cells
491,-15.238443,22.918934,SPDR,b.cells
492,-8.204107,18.736609,SPDR,b.cells
493,-7.2482276,19.682606,SPDR,b.cells
494,-16.448177,18.233042,SPDR,b.cells
495,-6.7646937,17.783436,SPDR,b.cells
496,-10.288482,17.907856,SPDR,b.cells
497,-8.171942,20.25714,SPDR,b.cells
498,-7.0293965,19.451632,SPDR,b.cells
499,-9.79081,21.729607,SPDR,b.cells
500,-14.24815,22.828606,SPDR,b.cells
501,-5.965528,15.932248,SPDR,b.cells
502,-13.993614,16.905334,SPDR,b.cells
503,-8.6714,17.124035,SPDR,b.cells
504,-9.430592,21.605133,SPDR,b.cells
505,-13.896102,17.02963,SPDR,b.cells
506,-11.006437,14.859468,SPDR,b.cells
507,-9.603643,18.179722,SPDR,b.cells
508,-9.636652,15.789876,SPDR,b.cells
509,-11.328382,22.5139,SPDR,b.cells
510,-11.317999,20.267403,SPDR,b.cells
511,-6.7389665,15.011577,SPDR,b.cells
512,-8.212701,18.324945,SPDR,b.cells
513,-5.3937297,16.991894,SPDR,b.cells
514,-7.3772883,16.744518,SPDR,b.cells
515,-11.44083,16.14493,SPDR,b.cells
516,-8.29238,17.488058,SPDR,b.cells
517,-7.765923,20.290728,SPDR,b.cells
518,-7.9729443,15.0284395,SPDR,b.cells
519,-11.17601,20.599922,SPDR,b.cells
520,-9.904652,22.994648,SPDR,b.cells
521,-8.79295,18.012644,SPDR,b.cells
522,-10.300015,17.53291,SPDR,b.cells
523,-6.5125184,17.064054,SPDR,b.cells
524,-9.359768,17.025627,SPDR,b.cells
525,-8.2891035,18.582,SPDR,b.cells
526,-8.958607,17.59819,SPDR,b.cells
527,-8.467372,19.73947,SPDR,b.cells
528,-10.18762,17.057713,SPDR,b.cells
529,-12.036908,16.580873,SPDR,b.cells
530,-10.789566,15.428362,SPDR,b.cells
531,-13.134112,24.149824,SPDR,b.cells
532,-5.2667704,21.201284,SPDR,b.cells
533,-15.204651,16.892838,SPDR,b.cells
534,-9.871766,19.338797,SPDR,b.cells
535,-7.0152116,21.354486,SPDR,b.cells
536,-7.2357783,19.337347,SPDR,b.cells
537,-4.5479307,17.276537,SPDR,b.cells
538,-8.764659,15.712542,SPDR,b.cells
539,-6.5114856,16.43281,SPDR,b.cells
540,-12.430791,23.032343,SPDR,b.cells
541,-10.652926,15.08905,SPDR,b.cells
542,-9.069407,16.500895,SPDR,b.cells
543,-7.635999,17.316488,SPDR,b.cells
544,-8.155096,16.963387,SPDR,b.cells
545,-5.6938877,16.342472,SPDR,b.cells
546,-7.5640793,15.435796,SPDR,b.cells
547,-5.164036,18.37903,SPDR,b.cells
548,-15.410743,17.463263,SPDR,b.cells
549,-10.275457,17.384872,SPDR,b.cells
550,-9.822817,16.522108,SPDR,b.cells
551,-5.3529963,20.171877,SPDR,b.cells
552,-6.574434,21.078674,SPDR,b.cells
553,-9.827959,17.947649,SPDR,b.cells
554,-6.8510427,19.422714,SPDR,b.cells
555,-9.198272,18.473248,SPDR,b.cells
556,-13.011425,22.012672,SPDR,b.cells
557,-17.114182,16.934494,SPDR,b.cells
558,-10.793222,20.836407,SPDR,b.cells
559,-3.6434522,19.506258,SPDR,b.cells
560,-15.689104,17.973349,SPDR,b.cells
561,-5.8346686,16.430666,SPDR,b.cells
562,-10.066328,16.607098,SPDR,b.cells
563,-6.143775,17.168797,SPDR,b.cells
564,-6.55625,19.949049,SPDR,b.cells
565,-7.1753497,17.341455,SPDR,b.cells
566,-14.295045,22.596224,SPDR,b.cells
567,-8.17528,18.600449,SPDR,b.cells
568,-12.552168,24.627377,SPDR,b.cells
569,-6.6641164,14.705037,SPDR,b.cells
570,-4.0532513,19.928581,SPDR,b.cells
571,-13.633645,22.188574,SPDR,b.cells
572,-6.4809475,15.073333,SPDR,b.cells
573,-8.423949,17.729818,SPDR,b.cells
574,-8.849303,17.109512,SPDR,b.cells
575,-11.742992,20.23572,SPDR,b.cells
576,-8.544909,18.42352,SPDR,b.cells
577,-8.282985,18.933056,SPDR,b.cells
578,-8.516815,19.584063,SPDR,b.cells
579,-9.727205,17.551079,SPDR,b.cells
580,-15.888978,17.107664,SPDR,b.cells
581,-16.301018,17.790499,SPDR,b.cells
582,-5.77211,20.80824,SPDR,b.cells
583,-9.845783,22.14442,SPDR,b.cells
584,-9.154305,16.871115,SPDR,b.cells
585,-5.9415846,19.239527,SPDR,b.cells
586,-9.419217,21.531708,SPDR,b.cells
587,-8.581389,19.426422,SPDR,b.cells
588,-8.592423,17.899164,SPDR,b.cells
589,-6.698853,18.125559,SPDR,b.cells
590,-8.254774,18.061415,SPDR,b.cells
591,-9.359176,14.889929,SPDR,b.cells
592,-11.955782,19.652863,SPDR,b.cells
593,-15.012469,16.18338,SPDR,b.cells
594,-7.7924185,17.799969,SPDR,b.cells
595,-8.931711,18.172222,SPDR,b.cells
596,-9.962214,14.455243,SPDR,b.cells
597,-4.7805395,17.840332,SPDR,b.cells
598,-5.6536875,15.790463,SPDR,b.cells
599,-5.310371,16.969519,SPDR,b.cells
600,-8.358569,19.163567,SPDR,b.cells
