source_row,dataset_label,dataset_group,source_repository,species,tissue_or_cell_type,condition,cells_atlas,cell_count_text,sequencing_technology,year,counting_rule,detail_source_dataset,genes_detail,sparsity_pct_detail,cell_types_detail,size_mb_detail,metadata_status,metadata_note
11.0,Zheng-73 k,Zheng-73 k,SRP073767,Human,Peripheral Blood,Healthy,73233.0,73233,10x Genomics,2017.0,single_row_dataset,,,,,,Atlas-level metadata only,Dataset is retained in the 50-real-dataset manuscript atlas; fields not present in the detailed snapshot should be reported as not available rather than inferred.
12.0,Darmanis,Darmanis,GSE67835,Human,Brain,Healthy,466.0,466,Smart-Seq2,2015.0,single_row_dataset,benchmarker/Darmanis,3000.0,88.1,8.0,7.0,Detailed metadata available,No additional note.
13.0,Pancreatic,Pancreatic,GSE73727,Human,Islet Cells,Healthy,60.0,60,Smart-Seq2,2016.0,single_row_dataset,benchmarker/Pancreatic,3000.0,84.3,6.0,2.0,Detailed metadata available,No additional note.
14.0,Silver,Silver,GSE115189,Human,PBMCs,Healthy,2590.0,2590,10x Genomics Chromium,2018.0,single_row_dataset,benchmarker/Silver,3000.0,89.0,11.0,42.0,Detailed metadata available,No additional note.
15.0,Zhengmix4eq,Zhengmix4eq,SRP073767,Human,Peripheral Blood,Healthy,3994.0,3994,10x Genomics,2016.0,single_row_dataset,benchmarker/Zhengmix4eq,3000.0,96.4,4.0,52.0,Detailed metadata available,No additional note.
16.0,ACINAR,ACINAR,ACINAR,Human,Prostate tissue,Disease,3043.0,3043,10x Visium,2022.0,single_row_dataset,scDesign3/ACINAR,3043.0,28.8,2851.0,7.0,Detailed metadata available,No additional note.
17.0,ATAC,ATAC,GSE129785,Human,PBMCs,Healthy、Developmental,7034.0,7034,10x scATAC-seq,2019.0,single_row_dataset,scDesign3/ATAC,7034.0,93.3,1.0,16.0,Detailed metadata available,No additional note.
18.0,BATCH,BATCH,GSE132044,Human,PBMCs,Healthy,6276.0,6276,10x scRNA-seq（V2/V3）,2019.0,single_row_dataset,scDesign3/BATCH,6276.0,78.1,9.0,13.0,Detailed metadata available,No additional note.
19.0,CITE,CITE,GSE100866,Human,CBMCs,Healthy,8617.0,8617,CITE-seq,2017.0,single_row_dataset,scDesign3/CITE,8617.0,76.3,1.0,18.0,Detailed metadata available,No additional note.
20.0,EMBYRO,EMBYRO,E-MTAB-3929,Human,Embryonic cells,Developmental、Healthy,1289.0,1289,scRNA-seq,2016.0,single_row_dataset,scDesign3/EMBYRO,1289.0,45.6,5.0,4.0,Detailed metadata available,No additional note.
21.0,IFNB,IFNB,GSE96583,Human,PBMCs,Disease+Treatment,13999.0,13999,10x scRNA-seq,2017.0,single_row_dataset,scDesign3/IFNB,13999.0,82.8,2.0,28.0,Detailed metadata available,No additional note.
22.0,MARROW,MARROW,GSE72857,Mouse,Bone marrow,Developmental,2660.0,2660,MARS-seq,2015.0,single_row_dataset,scDesign3/MARROW,2660.0,72.1,2.0,6.0,Detailed metadata available,No additional note.
23.0,MOBSC,MOBSC,GSE121891,Mouse,olfactory bulb,Health+Sensory manipulation,12640.0,12640,10x Chromium,2018.0,single_row_dataset,scDesign3/MOBSC,12640.0,75.7,4.0,13.0,Detailed metadata available,No additional note.
24.0,OVARIAN,OVARIAN,OVARIAN,Human,ovarian,Disease,3455.0,3455,10x Visium,2022.0,single_row_dataset,scDesign3/OVARIAN,3455.0,33.7,1.0,8.0,Detailed metadata available,No additional note.
25.0,PANCREAS,PANCREAS,GSE132188,Mouse,pancreatic,Developmental,2087.0,2087,10x scRNA-seq,2019.0,single_row_dataset,scDesign3/PANCREAS,2087.0,54.0,4.0,5.0,Detailed metadata available,No additional note.
26.0,SCGEMMETH,SCGEMMETH,SRP077853,Human,foreskin fibroblasts,Developmental,142.0,142,scGEM,2016.0,single_row_dataset,scDesign3/SCGEMMETH,142.0,36.2,130.0,1.0,Detailed metadata available,No additional note.
27.0,SCGEMRNA,SCGEMRNA,SRP077853,Human,foreskin fibroblasts,Developmental,177.0,177,scGEM,2016.0,single_row_dataset,scDesign3/SCGEMRNA,177.0,59.6,168.0,1.0,Detailed metadata available,No additional note.
28.0,SCIATAC,SCIATAC,GSE111586,Mouse,bone marrow,Healthy,4025.0,4025,sci-ATAC-seq,2018.0,single_row_dataset,scDesign3/SCIATAC,4024.0,98.2,4024.0,30.0,Detailed metadata available,No additional note.
29.0,SLIDE,SLIDE,SCP354,Mouse,coronal cerebellum,Healthy,23372.0,23372,Slide-seq,2021.0,single_row_dataset,scDesign3/SLIDE,23371.0,95.3,23350.0,45.0,Detailed metadata available,No additional note.
30.0,VISIUM,VISIUM,SeuratData,Mouse,Brain,Healthy,2696.0,2696,10x Visium,2019.0,single_row_dataset,scDesign3/VISIUM,2696.0,36.8,1.0,6.0,Detailed metadata available,No additional note.
31.0,GSE74767/epiblast,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,182.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,TI/GSE74767/epiblast,4320.0,45.8,7.0,8.0,Detailed metadata available,No additional note.
31.0,GSE74767/trophectoderm,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,82.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,TI/GSE74767/trophectoderm,4320.0,39.7,3.0,4.0,Detailed metadata available,No additional note.
31.0,GSE74767/ICM,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,272.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,TI/GSE74767/ICM,4320.0,46.2,10.0,12.0,Detailed metadata available,No additional note.
31.0,GSE74767/blastocyst,Nakamura,GSE74767,macaque,Embryonic cells,Developmental,348.0,182、82、272、348,SC3-seq,2016.0,expanded_subdataset,TI/GSE74767/blastocyst,4320.0,45.8,13.0,15.0,Detailed metadata available,No additional note.
32.0,GSE100058/DA1_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,277.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,TI/GSE100058/DA1_horns,2621.0,66.1,5.0,5.0,Detailed metadata available,No additional note.
32.0,GSE100058/DC3_VA1d_horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,168.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,TI/GSE100058/DC3_VA1d_horns,2621.0,64.0,9.0,4.0,Detailed metadata available,No additional note.
32.0,GSE100058/horns,Horns,GSE100058,fly,Olfactory projection neurons,Developmental,454.0,277、168、454,smart-seq2,2017.0,expanded_subdataset,TI/GSE100058/horns,2621.0,65.4,14.0,9.0,Detailed metadata available,No additional note.
33.0,GSE103633/combination-1,Plass,GSE103633,planaria,whole organism level,Healthy,4288.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/combination-1,4210.0,94.4,7.0,50.0,Detailed metadata available,No additional note.
33.0,GSE103633/combination-2,Plass,GSE103633,planaria,whole organism level,Healthy,4341.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/combination-2,4210.0,95.5,12.0,48.0,Detailed metadata available,No additional note.
33.0,GSE103633/combination-3,Plass,GSE103633,planaria,whole organism level,Healthy,2270.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/combination-3,4210.0,94.9,7.0,26.0,Detailed metadata available,No additional note.
33.0,GSE103633/epidermis,Plass,GSE103633,planaria,whole organism level,Healthy,4003.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/epidermis,4210.0,94.2,5.0,47.0,Detailed metadata available,No additional note.
33.0,GSE103633/muscle,Plass,GSE103633,planaria,whole organism level,Healthy,2338.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/muscle,4210.0,94.7,3.0,27.0,Detailed metadata available,No additional note.
33.0,GSE103633/neuron,Plass,GSE103633,planaria,whole organism level,Healthy,2349.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/neuron,4210.0,95.4,7.0,26.0,Detailed metadata available,No additional note.
33.0,GSE103633/pair-1,Plass,GSE103633,planaria,whole organism level,Healthy,10578.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/pair-1,4210.0,94.1,8.0,124.0,Detailed metadata available,No additional note.
33.0,GSE103633/pair-2,Plass,GSE103633,planaria,whole organism level,Healthy,10653.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/pair-2,4210.0,94.7,13.0,121.0,Detailed metadata available,No additional note.
33.0,GSE103633/pair-3,Plass,GSE103633,planaria,whole organism level,Healthy,8589.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/pair-3,4210.0,94.5,8.0,99.0,Detailed metadata available,No additional note.
33.0,GSE103633/pair-4,Plass,GSE103633,planaria,whole organism level,Healthy,8960.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/pair-4,4210.0,94.5,10.0,103.0,Detailed metadata available,No additional note.
33.0,GSE103633/parenchyme,Plass,GSE103633,planaria,whole organism level,Healthy,1986.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/parenchyme,4210.0,94.8,5.0,23.0,Detailed metadata available,No additional note.
33.0,GSE103633/phagocyte,Plass,GSE103633,planaria,whole organism level,Healthy,694.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/phagocyte,4210.0,94.8,2.0,8.0,Detailed metadata available,No additional note.
33.0,GSE103633/pharynx,Plass,GSE103633,planaria,whole organism level,Healthy,292.0,4288、4341、 2270、 4003、2338、2349、10578、10653、8589、8960、1986、694、292,drop-seq,2018.0,expanded_subdataset,TI/GSE103633/pharynx,4210.0,94.9,2.0,4.0,Detailed metadata available,No additional note.
