figure,panel,role,source
S10,b,family stability,simulated robustness data
S10,c,method stability,simulated robustness data
S10,d,axis spread,simulated robustness data
S10,e,simulated local metrics,simulated robustness data
S10,f,simulated global metrics,simulated robustness data
S10,g,simulated clustering metrics,simulated robustness data
S10,h,simulated task coverage,simulated robustness data
S10,i,rank volatility,simulated robustness data
S10,j,axis means,simulated robustness data
S10,k,robustness components,simulated robustness data
S10,l,local-stability association,simulated robustness data
S11,a,ARI dimension,scVI targeted reference analysis
S11,b,NMI dimension,scVI targeted reference analysis
S11,c,trustworthiness dimension,scVI targeted reference analysis
S11,d,runtime dimension,scVI targeted reference analysis
S11,e,epoch effect,scVI targeted reference analysis
S11,f,memory,scVI targeted reference analysis
S11,g,scale-runtime,scVI targeted reference analysis
S11,h,dataset-level ARI,scVI targeted reference analysis
S12,a,ARI dimension matrix,latent dimension sensitivity
S12,b,NMI dimension matrix,latent dimension sensitivity
S12,c,trustworthiness dimension matrix,latent dimension sensitivity
S12,d,runtime dimension matrix,latent dimension sensitivity
S12,e,ARI distribution,latent dimension sensitivity
S12,f,NMI distribution,latent dimension sensitivity
S12,g,explained variance,latent dimension sensitivity
S12,h,method sensitivity,latent dimension sensitivity
S13,a,ARI workflow,workflow comparison
S13,b,NMI workflow,workflow comparison
S13,c,trustworthiness workflow,workflow comparison
S13,d,runtime workflow,workflow comparison
S13,e,ARI method matrix,workflow comparison
S13,f,NMI method matrix,workflow comparison
S13,g,trustworthiness method matrix,workflow comparison
S13,h,runtime method matrix,workflow comparison
S14,a,ARI gene matrix,input-gene sensitivity
S14,b,NMI gene matrix,input-gene sensitivity
S14,c,trustworthiness gene matrix,input-gene sensitivity
S14,d,runtime gene matrix,input-gene sensitivity
S14,e,ARI distribution,input-gene sensitivity
S14,f,NMI distribution,input-gene sensitivity
S14,g,runtime scaling,input-gene sensitivity
S14,h,method sensitivity,input-gene sensitivity
S15,a,implementation verification,reproducibility and coverage audit
S15,b,role accounting,reproducibility and coverage audit
S15,c,language footprint,reproducibility and coverage audit
S15,d,method scope,reproducibility and coverage audit
S15,e,commit records,reproducibility and coverage audit
S15,f,export formats,reproducibility and coverage audit
S15,g,source-data records,reproducibility and coverage audit
S15,h,old supplement coverage,reproducibility and coverage audit
S15,i,canonical method audit,reproducibility and coverage audit
