method_order,method_id,completed_100_cells,completed_500_cells,completed_1000_cells,completed_2000_cells,completed_5000_cells,completed_10000_cells,completed_20000_cells,completed_30000_cells,completed_50000_cells,completed_73233_cells,completed_levels,missing_levels,largest_completed_cells,missing_cell_levels,language,role,install_channel,package_or_repo,environment,status,notes,efficiency_rows,median_runtime_seconds,max_runtime_seconds,median_peak_memory_gb,max_peak_memory_gb,largest_efficiency_scale_cells
11,SAUCIE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Legacy deep method,git,SAUCIE,Python legacy,Source import verified,Source import verified in Python legacy; full TF1-style training runtime still needs smoke test.,10,2.1741,3.5225,0.367,1.189,73233
12,scScope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Legacy deep method,manual_source,scScope,Python legacy,installed_verified,Table S1 points to DRComparison data; identify original source or archived implementation.,10,198.44635,2165.0811,1.557,3.253,73233
13,SCDRHA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k,python,Legacy deep method,git,SCDRHA,Python SCDH,Source import verified,Source import verified in isolated TensorFlow 2.4/DCA environment with python-louvain and PyYAML compatibility pins.,8,74.6005,3607.1984,2.901,112.055,30000
14,scGAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k,python,Legacy deep method,git,scGAE,Python legacy,Source import verified,Source import verified in Python legacy after installing TensorFlow-probability spektral umap-learn and scanpy.,8,65.34585,3407.1552,2.08,71.689,30000
15,DREAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,2,30000,50k;73k,python,Legacy deep method,git,DREAM,Python modern,installed_verified,pip installed from cloned source after adding missing requirements file; import verified.,8,181.17735,3291.2063,1.1404999999999998,14.564,30000
16,DRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,Legacy deep method,git,DRA,Python TF1,Source import verified,Source modules compile and import in isolated TensorFlow 1.15 environment with PyTables.,10,734.3099500000001,7192.8711,0.6025,1.768,73233
17,UMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,pip,umap-learn,Python modern,installed_verified,Install from PyPI/conda-forge; run direct 2D and PCA50->UMAP.,10,19.36375,44.8445,0.9775,3.183,73233
18,SIMLR,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,5,5000,10k;20k;30k;50k;73k,R,2D visualization,Bioconductor,SIMLR,R benchmark,installed_verified,Install through Bioconductor or GitHub.,5,333.832,6701.459,2.069,36.338,5000
19,PHATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,pip,phate,Python modern,installed_verified,Install from PyPI/conda-forge.,10,21.9812,549.2445,0.5405,2.195,73233
20,EDGE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,2D visualization,R,EDGE,R benchmark,installed_verified,Install from GitHub with remotes.,10,190.4935,13138.446,3.6715,63.961,73233
21,SPDR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,git,SPDR,Python modern,Source import verified,Source import verified in Python modern after installing hnswlib.,10,230.6593,20562.4158,0.9255,6.022,73233
22,IVIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,pip,ivis,Python legacy,installed_verified,TensorFlow dependency; isolate if it conflicts with modern stack.,10,23.9625,277.5137,0.7435,1.673,73233
23,PaCMAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,pip,pacmap,Python modern,installed_verified,Install from PyPI/conda-forge.,10,16.434549999999998,156.4359,0.4255,2.05,73233
24,t-SNE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,R,2D visualization,R,Rtsne,R benchmark,installed_verified,Install Rtsne in R environment; also allow sklearn TSNE for Python checks if needed.,10,23.491,443.098,0.386,2.76,73233
25,TriMap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,pip,trimap,Python modern,installed_verified,Install from PyPI if available; otherwise GitHub source.,10,7.0363500000000005,64.3344,0.37949999999999995,1.569,73233
26,SQuaD-MDS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,73233,none,python,2D visualization,git,SQuaD-MDS-and-FItSNE-hybrid,Python modern,Source import verified,Source import verified in Python modern.,10,75.18225,996.3987,0.39949999999999997,1.849,73233
