key,status,bib_title,bib_year,bib_doi,matched_doi,matched_title,matched_year,matched_container,title_similarity,verified_url,evidence
cortes_support-vector_1995,verified_doi_crossref,Support-vector networks,1995,10.1007/BF00994018,10.1007/bf00994018,Support-vector networks,1995,Machine Learning,1.000,https://doi.org/10.1007/bf00994018,Crossref DOI resolved; title_similarity=1.000
cover_nearest_1967,verified_doi_crossref,Nearest neighbor pattern classification,1967,10.1109/TIT.1967.1053964,10.1109/tit.1967.1053964,Nearest neighbor pattern classification,1967,IEEE Transactions on Information Theory,1.000,https://doi.org/10.1109/tit.1967.1053964,Crossref DOI resolved; title_similarity=1.000
davies_cluster_1979,verified_doi_crossref,A Cluster Separation Measure,1979,10.1109/TPAMI.1979.4766909,10.1109/tpami.1979.4766909,A Cluster Separation Measure,1979,IEEE Transactions on Pattern Analysis and Machine Intelligence,1.000,https://doi.org/10.1109/tpami.1979.4766909,Crossref DOI resolved; title_similarity=1.000
degroot_bonsai_2025,verified_doi_crossref,Bonsai: Tree representations for distortion-free visualization and exploratory analysis of single-cell omics data,2025,10.1101/2025.05.08.652944,10.1101/2025.05.08.652944,"<i>Bonsai</i>
                  : Tree representations for distortion-free visualization and exploratory analysis of single-cell omics data",2025,,0.982,https://doi.org/10.1101/2025.05.08.652944,Crossref DOI resolved; title_similarity=0.982
deng_scalable_2019,verified_doi_crossref,Scalable analysis of cell-type composition from single-cell transcriptomics using deep recurrent learning,2019,10.1038/s41592-019-0353-7,10.1038/s41592-019-0353-7,Scalable analysis of cell-type composition from single-cell transcriptomics using deep recurrent learning,2019,Nature Methods,1.000,https://doi.org/10.1038/s41592-019-0353-7,Crossref DOI resolved; title_similarity=1.000
ding_interpretable_2018,verified_doi_crossref,Interpretable dimensionality reduction of single cell transcriptome data with deep generative models,2018,10.1038/s41467-018-04368-5,10.1038/s41467-018-04368-5,Interpretable dimensionality reduction of single cell transcriptome data with deep generative models,2018,Nature Communications,1.000,https://doi.org/10.1038/s41467-018-04368-5,Crossref DOI resolved; title_similarity=1.000
durif_probabilistic_2019,verified_doi_crossref,Probabilistic count matrix factorization for single cell expression data analysis,2019,10.1093/bioinformatics/btz177,10.1093/bioinformatics/btz177,Probabilistic count matrix factorization for single cell expression data analysis,2019,Bioinformatics,1.000,https://doi.org/10.1093/bioinformatics/btz177,Crossref DOI resolved in targeted retry; title_similarity=1.000
emmons_analysis_2016,verified_doi_crossref,Analysis of Network Clustering Algorithms and Cluster Quality Metrics at Scale,2016,10.1371/journal.pone.0159161,10.1371/journal.pone.0159161,Analysis of Network Clustering Algorithms and Cluster Quality Metrics at Scale,2016,PLOS ONE,1.000,https://doi.org/10.1371/journal.pone.0159161,Crossref DOI resolved; title_similarity=1.000
geng_supervised_2005,verified_doi_crossref,Supervised Nonlinear Dimensionality Reduction for Visualization and Classification,2005,10.1109/TSMCB.2005.850151,10.1109/tsmcb.2005.850151,Supervised Nonlinear Dimensionality Reduction for Visualization and Classification,2005,"IEEE Transactions on Systems, Man and Cybernetics, Part B (Cybernetics)",1.000,https://doi.org/10.1109/tsmcb.2005.850151,Crossref DOI resolved; title_similarity=1.000
greenacre_principal_2022,verified_doi_crossref,Principal component analysis,2022,10.1038/s43586-022-00184-w,10.1038/s43586-022-00184-w,Principal component analysis,2022,Nature Reviews Methods Primers,1.000,https://doi.org/10.1038/s43586-022-00184-w,Crossref DOI resolved; title_similarity=1.000
grun_single-cell_2015,verified_doi_resolver,Single-cell messenger RNA sequencing reveals rare intestinal cell types,2015,10.1038/nature14966,10.1038/nature14966,,,,0.000,https://www.nature.com/articles/nature14966,DOI resolver status=200
hu_single_2018,verified_doi_crossref,Single Cell Multi-Omics Technology: Methodology and Application,2018,10.3389/fcell.2018.00028,10.3389/fcell.2018.00028,Single Cell Multi-Omics Technology: Methodology and Application,2018,Frontiers in Cell and Developmental Biology,1.000,https://doi.org/10.3389/fcell.2018.00028,Crossref DOI resolved; title_similarity=1.000
huang_towards_2022,verified_doi_crossref,Towards a comprehensive evaluation of dimension reduction methods for transcriptomic data visualization,2022,10.1038/s42003-022-03628-x,10.1038/s42003-022-03628-x,Towards a comprehensive evaluation of dimension reduction methods for transcriptomic data visualization,2022,Communications Biology,1.000,https://doi.org/10.1038/s42003-022-03628-x,Crossref DOI resolved; title_similarity=1.000
hubert_comparing_1985,verified_doi_crossref,Comparing partitions,1985,10.1007/BF01908075,10.1007/bf01908075,Comparing partitions,1985,Journal of Classification,1.000,https://doi.org/10.1007/bf01908075,Crossref DOI resolved; title_similarity=1.000
jiang_dimensionality_2023,verified_doi_crossref,Dimensionality reduction and visualization of single-cell RNA-seq data with an improved deep variational autoencoder,2023,10.1093/bib/bbad152,10.1093/bib/bbad152,Dimensionality reduction and visualization of single-cell RNA-seq data with an improved deep variational autoencoder,2023,Briefings in Bioinformatics,1.000,https://doi.org/10.1093/bib/bbad152,Crossref DOI resolved; title_similarity=1.000
kharchenko_bayesian_2014,verified_doi_crossref,Bayesian approach to single-cell differential expression analysis,2014,10.1038/nmeth.2967,10.1038/nmeth.2967,Bayesian approach to single-cell differential expression analysis,2014,Nature Methods,1.000,https://doi.org/10.1038/nmeth.2967,Crossref DOI resolved; title_similarity=1.000
kingma_autoencoding_2013,verified_arxiv_title,Auto-Encoding Variational Bayes,2013,,,Auto-Encoding Variational Bayes,2013,arXiv,1.000,https://arxiv.org/abs/1312.6114,arXiv canonical URL resolved; title match=1.000
klein_droplet_2015,verified_doi_crossref,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,2015,10.1016/j.cell.2015.04.044,10.1016/j.cell.2015.04.044,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,2015,Cell,1.000,https://doi.org/10.1016/j.cell.2015.04.044,Crossref DOI resolved; title_similarity=1.000
kobak_art_2019,verified_doi_crossref,The art of using t-SNE for single-cell transcriptomics,2019,10.1038/s41467-019-13056-x,10.1038/s41467-019-13056-x,The art of using t-SNE for single-cell transcriptomics,2019,Nature Communications,1.000,https://doi.org/10.1038/s41467-019-13056-x,Crossref DOI resolved; title_similarity=1.000
kolodziejczyk_technology_2015,verified_doi_crossref,The Technology and Biology of Single-Cell RNA Sequencing,2015,10.1016/j.molcel.2015.04.005,10.1016/j.molcel.2015.04.005,The Technology and Biology of Single-Cell RNA Sequencing,2015,Molecular Cell,1.000,https://doi.org/10.1016/j.molcel.2015.04.005,Crossref DOI resolved; title_similarity=1.000
lambert_squadmds_2022,verified_doi_resolver,SQuadMDS: a lean Stochastic Quartet MDS improving global structure preservation in neighbor embedding like t-SNE and UMAP,2022,10.48550/arXiv.2202.12087,10.48550/arXiv.2202.12087,,,,0.000,https://arxiv.org/abs/2202.12087,DOI resolver status=200
lee_quality_2009,verified_doi_crossref,Quality assessment of dimensionality reduction: Rank-based criteria,2009,10.1016/j.neucom.2008.12.017,10.1016/j.neucom.2008.12.017,Quality assessment of dimensionality reduction: Rank-based criteria,2009,Neurocomputing,1.000,https://doi.org/10.1016/j.neucom.2008.12.017,Crossref DOI resolved; title_similarity=1.000
lee_single-cell_2020,verified_doi_crossref,Single-cell multiomics: technologies and data analysis methods,2020,10.1038/s12276-020-0420-2,10.1038/s12276-020-0420-2,Single-cell multiomics: technologies and data analysis methods,2020,Experimental &amp; Molecular Medicine,1.000,https://doi.org/10.1038/s12276-020-0420-2,Crossref DOI resolved; title_similarity=1.000
lin_deep_2020,verified_doi_crossref,A deep adversarial variational autoencoder model for dimensionality reduction in single-cell RNA sequencing analysis,2020,10.1186/s12859-020-3401-5,10.1186/s12859-020-3401-5,A deep adversarial variational autoencoder model for dimensionality reduction in single-cell RNA sequencing analysis,2020,BMC Bioinformatics,1.000,https://doi.org/10.1186/s12859-020-3401-5,Crossref DOI resolved; title_similarity=1.000
lloyd_least_1982,verified_doi_crossref,Least squares quantization in PCM,1982,10.1109/TIT.1982.1056489,10.1109/tit.1982.1056489,Least squares quantization in PCM,1982,IEEE Transactions on Information Theory,1.000,https://doi.org/10.1109/tit.1982.1056489,Crossref DOI resolved; title_similarity=1.000
lopez_deep_2018,verified_doi_crossref,Deep generative modeling for single-cell transcriptomics,2018,10.1038/s41592-018-0229-2,10.1038/s41592-018-0229-2,Deep generative modeling for single-cell transcriptomics,2018,Nature Methods,1.000,https://doi.org/10.1038/s41592-018-0229-2,Crossref DOI resolved; title_similarity=1.000
luecken_current_2019,verified_doi_crossref,Current best practices in single‐cell RNA‐seq analysis: a tutorial,2019,10.15252/msb.20188746,10.15252/msb.20188746,Current best practices in single‐cell RNA‐seq analysis: a tutorial,2019,Molecular Systems Biology,1.000,https://doi.org/10.15252/msb.20188746,Crossref DOI resolved; title_similarity=1.000
luo_scgae_2021,verified_doi_crossref,scGAE: topology-preserving dimensionality reduction for single-cell RNA-seq data using graph autoencoder,2021,10.1101/2021.02.16.431357,10.1101/2021.02.16.431357,scGAE: topology-preserving dimensionality reduction for single-cell RNA-seq data using graph autoencoder,2021,,1.000,https://doi.org/10.1101/2021.02.16.431357,Crossref DOI resolved; title_similarity=1.000
macosko_highly_2015,verified_doi_crossref,Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets,2015,10.1016/j.cell.2015.05.002,10.1016/j.cell.2015.05.002,Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets,2015,Cell,1.000,https://doi.org/10.1016/j.cell.2015.05.002,Crossref DOI resolved; title_similarity=1.000
mcinnes_umap_2020,verified_doi_resolver,UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction,2020,10.48550/arXiv.1802.03426,10.48550/arXiv.1802.03426,,,,0.000,https://arxiv.org/abs/1802.03426,DOI resolver status=200
miao_multi-omics_2021,verified_doi_crossref,Multi-omics integration in the age of million single-cell data,2021,10.1038/s41581-021-00463-x,10.1038/s41581-021-00463-x,Multi-omics integration in the age of million single-cell data,2021,Nature Reviews Nephrology,1.000,https://doi.org/10.1038/s41581-021-00463-x,Crossref DOI resolved; title_similarity=1.000
moon_visualizing_2019,verified_doi_crossref,Visualizing structure and transitions in high-dimensional biological data,2019,10.1038/s41587-019-0336-3,10.1038/s41587-019-0336-3,Visualizing structure and transitions in high-dimensional biological data,2019,Nature Biotechnology,1.000,https://doi.org/10.1038/s41587-019-0336-3,Crossref DOI resolved; title_similarity=1.000
nadjafikhah_manifold_2025,verified_doi_crossref,A comparative study of manifold learning methods for scRNA-seq with a trajectory-aware metric,2025,10.1038/s41598-025-14301-8,10.1038/s41598-025-14301-8,A comparative study of manifold learning methods for scRNA-seq with a trajectory-aware metric,2025,Scientific Reports,1.000,https://doi.org/10.1038/s41598-025-14301-8,Crossref DOI resolved; title_similarity=1.000
nicol_model-based_2023,verified_doi_crossref,Model-based dimensionality reduction for single-cell RNA-seq using generalized bilinear models,2023,10.1101/2023.04.21.537881,10.1101/2023.04.21.537881,Model-based dimensionality reduction for single-cell RNA-seq using generalized bilinear models,2023,,1.000,https://doi.org/10.1101/2023.04.21.537881,Crossref DOI resolved; title_similarity=1.000
paulovich_least_2008,verified_doi_crossref,Least Square Projection: A Fast High-Precision Multidimensional Projection Technique and Its Application to Document Mapping,2008,10.1109/TVCG.2007.70443,10.1109/tvcg.2007.70443,Least Square Projection: A Fast High-Precision Multidimensional Projection Technique and Its Application to Document Mapping,2008,IEEE Transactions on Visualization and Computer Graphics,1.000,https://doi.org/10.1109/tvcg.2007.70443,Crossref DOI resolved; title_similarity=1.000
pearson_lines_1901,verified_doi_crossref,LIII. On lines and planes of closest fit to systems of points in space,1901,10.1080/14786440109462720,10.1080/14786440109462720,LIII. <i>On lines and planes of closest fit to systems of points in space</i>,1901,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",0.972,https://doi.org/10.1080/14786440109462720,Crossref DOI resolved; title_similarity=0.972
pedregosa_scikit-learn_2011,verified_canonical_url,Scikit-learn: Machine Learning in Python,2011,,,Scikit-learn: Machine Learning in Python,2011,Journal of Machine Learning Research,1.000,https://jmlr.org/papers/v12/pedregosa11a.html,JMLR canonical URL resolved status=200
picelli_full-length_2014,verified_doi_crossref,Full-length RNA-seq from single cells using Smart-seq2,2014,10.1038/nprot.2014.006,10.1038/nprot.2014.006,Full-length RNA-seq from single cells using Smart-seq2,2014,Nature Protocols,1.000,https://doi.org/10.1038/nprot.2014.006,Crossref DOI resolved; title_similarity=1.000
pierson_zifa_2015,verified_doi_crossref,ZIFA: Dimensionality reduction for zero-inflated single-cell gene expression analysis,2015,10.1186/s13059-015-0805-z,10.1186/s13059-015-0805-z,ZIFA: Dimensionality reduction for zero-inflated single-cell gene expression analysis,2015,Genome Biology,1.000,https://doi.org/10.1186/s13059-015-0805-z,Crossref DOI resolved; title_similarity=1.000
rand_objective_1971,verified_doi_crossref,Objective Criteria for the Evaluation of Clustering Methods,1971,10.1080/01621459.1971.10482356,10.1080/01621459.1971.10482356,Objective Criteria for the Evaluation of Clustering Methods,1971,Journal of the American Statistical Association,1.000,https://doi.org/10.1080/01621459.1971.10482356,Crossref DOI resolved; title_similarity=1.000
risso_general_2018,verified_doi_crossref,A general and flexible method for signal extraction from single-cell RNA-seq data,2018,10.1038/s41467-017-02554-5,10.1038/s41467-017-02554-5,A general and flexible method for signal extraction from single-cell RNA-seq data,2018,Nature Communications,1.000,https://doi.org/10.1038/s41467-017-02554-5,Crossref DOI resolved; title_similarity=1.000
stahl_visualization_2016,verified_doi_crossref,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,2016,10.1126/science.aaf2403,10.1126/science.aaf2403,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,2016,Science,1.000,https://doi.org/10.1126/science.aaf2403,Crossref DOI resolved; title_similarity=1.000
sun_accuracy_2019,verified_doi_crossref,"Accuracy, robustness and scalability of dimensionality reduction methods for single-cell RNA-seq analysis",2019,10.1186/s13059-019-1898-6,10.1186/s13059-019-1898-6,"Accuracy, robustness and scalability of dimensionality reduction methods for single-cell RNA-seq analysis",2019,Genome Biology,1.000,https://doi.org/10.1186/s13059-019-1898-6,Crossref DOI resolved; title_similarity=1.000
sun_single-cell_2023,verified_doi_crossref,Single-cell RNA-Seq reveals transcriptional regulatory networks directing the development of mouse maxillary prominence,2023,10.1016/j.jgg.2023.02.008,10.1016/j.jgg.2023.02.008,Single-cell RNA-Seq reveals transcriptional regulatory networks directing the development of mouse maxillary prominence,2023,Journal of Genetics and Genomics,1.000,https://doi.org/10.1016/j.jgg.2023.02.008,Crossref DOI resolved; title_similarity=1.000
sun_survey_2024,verified_doi_crossref,A comprehensive survey of dimensionality reduction and clustering methods for single-cell and spatial transcriptomics data,2024,10.1093/bfgp/elae023,10.1093/bfgp/elae023,A comprehensive survey of dimensionality reduction and clustering methods for single-cell and spatial transcriptomics data,2024,Briefings in Functional Genomics,1.000,https://doi.org/10.1093/bfgp/elae023,Crossref DOI resolved; title_similarity=1.000
szubert_structure-preserving_2019,verified_doi_crossref,Structure-preserving visualisation of high dimensional single-cell datasets,2019,10.1038/s41598-019-45301-0,10.1038/s41598-019-45301-0,Structure-preserving visualisation of high dimensional single-cell datasets,2019,Scientific Reports,1.000,https://doi.org/10.1038/s41598-019-45301-0,Crossref DOI resolved; title_similarity=1.000
townes_feature_2019,verified_doi_crossref,Feature selection and dimension reduction for single-cell RNA-Seq based on a multinomial model,2019,10.1186/s13059-019-1861-6,10.1186/s13059-019-1861-6,Feature selection and dimension reduction for single-cell RNA-Seq based on a multinomial model,2019,Genome Biology,1.000,https://doi.org/10.1186/s13059-019-1861-6,Crossref DOI resolved; title_similarity=1.000
trapnell2017monocle,verified_canonical_url,"Monocle: Cell counting, differential expression, and trajectory analysis for single-cell RNA-Seq experiments",2017,,,"Monocle: Cell counting, differential expression, and trajectory analysis for single-cell RNA-Seq experiments",2017,Bioconductor,1.000,https://www.bioconductor.org/packages/release/bioc/html/monocle.html,Bioconductor canonical URL resolved in online audit
trapnell_dynamics_2014,verified_doi_crossref,The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells,2014,10.1038/nbt.2859,10.1038/nbt.2859,The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells,2014,Nature Biotechnology,1.000,https://doi.org/10.1038/nbt.2859,Crossref DOI resolved; title_similarity=1.000
verboom_smarter_2019,verified_doi_crossref,SMARTer single cell total RNA sequencing,2019,10.1093/nar/gkz535,10.1093/nar/gkz535,SMARTer single cell total RNA sequencing,2019,Nucleic Acids Research,1.000,https://doi.org/10.1093/nar/gkz535,Crossref DOI resolved; title_similarity=1.000
verma_robust_2020,verified_doi_crossref,A robust nonlinear low-dimensional manifold for single cell RNA-seq data,2020,10.1186/s12859-020-03625-z,10.1186/s12859-020-03625-z,A robust nonlinear low-dimensional manifold for single cell RNA-seq data,2020,BMC Bioinformatics,1.000,https://doi.org/10.1186/s12859-020-03625-z,Crossref DOI resolved; title_similarity=1.000
von_luxburg_tutorial_2007,verified_doi_crossref,A tutorial on spectral clustering,2007,10.1007/s11222-007-9033-z,10.1007/s11222-007-9033-z,A tutorial on spectral clustering,2007,Statistics and Computing,1.000,https://doi.org/10.1007/s11222-007-9033-z,Crossref DOI resolved; title_similarity=1.000
wang_vasc_2018,verified_doi_crossref,VASC: Dimension Reduction and Visualization of Single-Cell RNA-Seq Data by Deep Variational Autoencoder,2018,10.1016/j.gpb.2018.08.003,10.1016/j.gpb.2018.08.003,VASC: Dimension Reduction and Visualization of Single-Cell RNA-Seq Data by Deep Variational Autoencoder,2018,"Genomics, Proteomics &amp; Bioinformatics",1.000,https://doi.org/10.1016/j.gpb.2018.08.003,Crossref DOI resolved; title_similarity=1.000
wang_visualization_2017,verified_doi_crossref,Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning,2017,10.1038/nmeth.4207,10.1038/nmeth.4207,Visualization and analysis of single-cell RNA-seq data by kernel-based similarity learning,2017,Nature Methods,1.000,https://doi.org/10.1038/nmeth.4207,Crossref DOI resolved; title_similarity=1.000
wu_highly_2022,verified_doi_crossref,Highly Regional Genes: graph-based gene selection for single-cell RNA-seq data,2022,10.1016/j.jgg.2022.01.004,10.1016/j.jgg.2022.01.004,Highly Regional Genes: graph-based gene selection for single-cell RNA-seq data,2022,Journal of Genetics and Genomics,1.000,https://doi.org/10.1016/j.jgg.2022.01.004,Crossref DOI resolved; title_similarity=1.000
xia_scdeed_2024,verified_doi_crossref,Statistical method scDEED for detecting dubious 2D single-cell embeddings and optimizing t-SNE and UMAP hyperparameters,2024,10.1038/s41467-024-45891-y,10.1038/s41467-024-45891-y,Statistical method scDEED for detecting dubious 2D single-cell embeddings and optimizing t-SNE and UMAP hyperparameters,2024,Nature Communications,1.000,https://doi.org/10.1038/s41467-024-45891-y,Crossref DOI resolved; title_similarity=1.000
xiang_comparison_2021,verified_doi_crossref,A Comparison for Dimensionality Reduction Methods of Single-Cell RNA-seq Data,2021,10.3389/fgene.2021.646936,10.3389/fgene.2021.646936,A Comparison for Dimensionality Reduction Methods of Single-Cell RNA-seq Data,2021,Frontiers in Genetics,1.000,https://doi.org/10.3389/fgene.2021.646936,Crossref DOI resolved; title_similarity=1.000
xu_structure-preserved_2023,verified_doi_crossref,Structure-preserved dimension reduction using joint triplets sampling for multi-batch integration of single-cell transcriptomic data,2023,10.1093/bib/bbac608,10.1093/bib/bbac608,Structure-preserved dimension reduction using joint triplets sampling for multi-batch integration of single-cell transcriptomic data,2023,Briefings in Bioinformatics,1.000,https://doi.org/10.1093/bib/bbac608,Crossref DOI resolved; title_similarity=1.000
yang_featuremap_2026,verified_doi_crossref,Feature-preserving manifold approximation and projection to analyze single-cell data,2026,10.1038/s43588-026-00970-6,10.1038/s43588-026-00970-6,Feature-preserving manifold approximation and projection to analyze single-cell data,2026,Nature Computational Science,1.000,https://doi.org/10.1038/s43588-026-00970-6,Crossref DOI resolved; title_similarity=1.000
zappia_splatter_2017,verified_doi_crossref,Splatter: simulation of single-cell RNA sequencing data,2017,10.1186/s13059-017-1305-0,10.1186/s13059-017-1305-0,Splatter: simulation of single-cell RNA sequencing data,2017,Genome Biology,1.000,https://doi.org/10.1186/s13059-017-1305-0,Crossref DOI resolved; title_similarity=1.000
zhang_sakura_2026,verified_doi_crossref,"SAKURA: a knowledge-guided approach to recovering important, rare signals from single-cell data",2026,10.1186/s13059-026-03965-8,10.1186/s13059-026-03965-8,"SAKURA: a knowledge-guided approach to recovering important, rare signals from single-cell data",2026,Genome Biology,1.000,https://doi.org/10.1186/s13059-026-03965-8,Crossref DOI resolved; title_similarity=1.000
zhao_scdrha_2021,verified_doi_crossref,SCDRHA: A scRNA-Seq Data Dimensionality Reduction Algorithm Based on Hierarchical Autoencoder,2021,10.3389/fgene.2021.733906,10.3389/fgene.2021.733906,SCDRHA: A scRNA-Seq Data Dimensionality Reduction Algorithm Based on Hierarchical Autoencoder,2021,Frontiers in Genetics,1.000,https://doi.org/10.3389/fgene.2021.733906,Crossref DOI resolved; title_similarity=1.000
zheng_massively_2017,verified_doi_crossref,Massively parallel digital transcriptional profiling of single cells,2017,10.1038/ncomms14049,10.1038/ncomms14049,Massively parallel digital transcriptional profiling of single cells,2017,Nature Communications,1.000,https://doi.org/10.1038/ncomms14049,Crossref DOI resolved; title_similarity=1.000
zhu_single-cell_2025,verified_doi_crossref,"Single-cell profiling transcriptomic reveals cellular heterogeneity and cellular crosstalk in breast cancer lymphatic node, bone, and brain metastases",2025,10.1038/s41598-025-85531-z,10.1038/s41598-025-85531-z,"Single-cell profiling transcriptomic reveals cellular heterogeneity and cellular crosstalk in breast cancer lymphatic node, bone, and brain metastases",2025,Scientific Reports,1.000,https://doi.org/10.1038/s41598-025-85531-z,Crossref DOI resolved; title_similarity=1.000
