category,dataset,cells,genes,sparsity_pct,cell_types,size_mb,Unnamed: 7,dataset_type,atlas_layer
scDesign3,scDesign3/SLIDE,1000.0,23371.0,95.3,23350.0,45.0,,real,explicit_excel_detail_or_repository_snapshot
scDesign3,scDesign3/VISIUM,1000.0,2696.0,36.8,1.0,6.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE100058/DA1_horns,277.0,2621.0,66.1,5.0,5.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE100058/DC3_VA1d_horns,168.0,2621.0,64.0,9.0,4.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE100058/horns,454.0,2621.0,65.4,14.0,9.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/combination-1,4288.0,4210.0,94.4,7.0,50.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/combination-2,4341.0,4210.0,95.5,12.0,48.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/combination-3,2270.0,4210.0,94.9,7.0,26.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/epidermis,4003.0,4210.0,94.2,5.0,47.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/muscle,2338.0,4210.0,94.7,3.0,27.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/neuron,2349.0,4210.0,95.4,7.0,26.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/pair-1,10578.0,4210.0,94.1,8.0,124.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/pair-2,10653.0,4210.0,94.7,13.0,121.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/pair-3,8589.0,4210.0,94.5,8.0,99.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/pair-4,8960.0,4210.0,94.5,10.0,103.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/parenchyme,1986.0,4210.0,94.8,5.0,23.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/phagocyte,694.0,4210.0,94.8,2.0,8.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE103633/pharynx,292.0,4210.0,94.9,2.0,4.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE74767/blastocyst,348.0,4320.0,45.8,13.0,15.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE74767/epiblast,182.0,4320.0,45.8,7.0,8.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE74767/ICM,272.0,4320.0,46.2,10.0,12.0,,real,explicit_excel_detail_or_repository_snapshot
TI,TI/GSE74767/trophectoderm,82.0,4320.0,39.7,3.0,4.0,,real,explicit_excel_detail_or_repository_snapshot
